Image,Coordonnees
image_1.png,"(131, 199, 264, 237)"
image_2.png,"(260, 123, 302, 252)"
image_3.png,"(179, 374, 282, 692)"
image_4.png,"(199, 2, 370, 146)"
image_5.png,"(180, 215, 226, 282)"
image_6.png,"(170, 181, 327, 200)"
image_7.png,"(327, 115, 401, 144)"
image_8.png,"(97, 233, 221, 317)"
image_9.png,"(10, 158, 69, 222)"
image_10.png,"(0, 0, 0, 0)"
image_11.png,"(334, 279, 436, 366)"
image_12.png,"(49, 316, 125, 338)"
image_13.png,"(331, 203, 409, 419)"
image_14.png,"(383, 22, 480, 52)"
image_15.png,"(327, 187, 392, 199)"
image_16.png,"(0, 0, 0, 0)"
image_17.png,"(228, 136, 295, 167)"
image_18.png,"(343, 60, 471, 182)"
image_19.png,"(0, 0, 0, 0)"
image_20.png,"(36, 121, 249, 167)"
image_21.png,"(70, 337, 174, 486)"
image_22.png,"(243, 195, 308, 265)"
image_23.png,"(185, 271, 243, 313)"
image_24.png,"(390, 274, 500, 342)"
image_25.png,"(65, 78, 99, 87)"
image_26.png,"(275, 107, 313, 202)"
image_27.png,"(293, 217, 461, 231)"
image_28.png,"(89, 118, 234, 312)"
image_29.png,"(253, 355, 312, 437)"
image_30.png,"(324, 256, 395, 300)"
image_31.png,"(280, 147, 330, 160)"
image_32.png,"(58, 296, 139, 452)"
image_33.png,"(309, 399, 459, 551)"
image_34.png,"(29, 253, 94, 322)"
image_35.png,"(388, 212, 493, 334)"
image_36.png,"(317, 122, 380, 138)"
image_37.png,"(342, 236, 500, 320)"
image_38.png,"(73, 165, 194, 231)"
image_39.png,"(0, 0, 0, 0)"
image_40.png,"(318, 133, 439, 198)"
image_41.png,"(285, 292, 393, 413)"
image_42.png,"(128, 155, 208, 185)"
image_43.png,"(267, 45, 338, 98)"
image_44.png,"(200, 201, 358, 328)"
image_45.png,"(28, 41, 90, 46)"
image_46.png,"(28, 180, 147, 247)"
image_47.png,"(16, 187, 94, 364)"
image_48.png,"(381, 306, 453, 351)"
image_49.png,"(199, 246, 287, 309)"
image_50.png,"(295, 74, 415, 130)"
image_51.png,"(57, 167, 108, 258)"
image_52.png,"(299, 50, 486, 194)"
image_53.png,"(0, 0, 0, 0)"
image_54.png,"(182, 391, 203, 403)"
image_55.png,"(18, 136, 84, 158)"
image_56.png,"(72, 320, 193, 349)"
image_57.png,"(154, 91, 242, 226)"
image_58.png,"(171, 371, 354, 511)"
image_59.png,"(45, 388, 67, 434)"
image_60.png,"(246, 353, 396, 483)"
image_61.png,"(16, 274, 77, 320)"
image_62.png,"(168, 111, 253, 147)"
image_63.png,"(370, 296, 476, 423)"
image_64.png,"(0, 0, 0, 0)"
image_65.png,"(123, 29, 193, 94)"
image_66.png,"(135, 297, 257, 411)"
image_67.png,"(185, 35, 285, 178)"
image_68.png,"(386, 239, 447, 247)"
image_69.png,"(178, 313, 426, 627)"
image_70.png,"(271, 17, 409, 188)"
image_71.png,"(0, 0, 0, 0)"
image_72.png,"(260, 293, 325, 429)"
image_73.png,"(9, 93, 73, 215)"
image_74.png,"(207, 126, 274, 159)"
image_75.png,"(138, 188, 246, 196)"
image_76.png,"(188, 182, 331, 261)"
image_77.png,"(184, 195, 300, 205)"
image_78.png,"(7, 118, 57, 135)"
image_79.png,"(183, 317, 229, 418)"
image_80.png,"(360, 333, 500, 523)"
image_81.png,"(241, 128, 264, 149)"
image_82.png,"(298, 233, 362, 327)"
image_83.png,"(203, 225, 289, 409)"
image_84.png,"(346, 340, 372, 423)"
image_85.png,"(328, 49, 428, 142)"
image_86.png,"(358, 7, 404, 95)"
image_87.png,"(11, 135, 55, 226)"
image_88.png,"(389, 24, 450, 207)"
image_89.png,"(0, 0, 0, 0)"
image_90.png,"(233, 219, 407, 420)"
image_91.png,"(369, 251, 471, 368)"
image_92.png,"(129, 272, 161, 337)"
image_93.png,"(271, 144, 386, 196)"
image_94.png,"(61, 297, 174, 398)"
image_95.png,"(7, 307, 116, 454)"
image_96.png,"(256, 147, 302, 226)"
image_97.png,"(190, 191, 315, 421)"
image_98.png,"(9, 125, 96, 159)"
image_99.png,"(373, 277, 500, 435)"
image_100.png,"(77, 77, 138, 254)"
image_101.png,"(38, 274, 216, 430)"
image_102.png,"(102, 106, 192, 171)"
image_103.png,"(0, 0, 0, 0)"
image_104.png,"(93, 192, 233, 226)"
image_105.png,"(399, 347, 489, 371)"
image_106.png,"(279, 177, 402, 339)"
image_107.png,"(293, 388, 381, 499)"
image_108.png,"(153, 135, 183, 221)"
image_109.png,"(257, 24, 359, 73)"
image_110.png,"(145, 271, 279, 354)"
image_111.png,"(308, 111, 429, 182)"
image_112.png,"(249, 357, 320, 563)"
image_113.png,"(160, 129, 330, 249)"
image_114.png,"(200, 166, 303, 200)"
image_115.png,"(166, 222, 206, 292)"
image_116.png,"(343, 189, 433, 205)"
image_117.png,"(188, 222, 278, 394)"
image_118.png,"(153, 190, 218, 373)"
image_119.png,"(341, 368, 433, 454)"
image_120.png,"(192, 118, 304, 224)"
image_121.png,"(298, 127, 363, 176)"
image_122.png,"(266, 354, 326, 568)"
image_123.png,"(395, 307, 481, 460)"
image_124.png,"(324, 311, 423, 335)"
image_125.png,"(105, 249, 153, 385)"
image_126.png,"(194, 367, 305, 437)"
image_127.png,"(307, 260, 351, 287)"
image_128.png,"(296, 204, 335, 268)"
image_129.png,"(326, 390, 498, 502)"
image_130.png,"(323, 286, 460, 381)"
image_131.png,"(370, 287, 430, 318)"
image_132.png,"(232, 116, 298, 226)"
image_133.png,"(269, 147, 433, 226)"
image_134.png,"(2, 324, 106, 427)"
image_135.png,"(0, 0, 0, 0)"
image_136.png,"(70, 274, 237, 337)"
image_137.png,"(34, 177, 116, 310)"
image_138.png,"(162, 265, 224, 276)"
image_139.png,"(10, 323, 117, 393)"
image_140.png,"(369, 9, 454, 105)"
image_141.png,"(232, 2, 319, 75)"
image_142.png,"(57, 115, 129, 161)"
image_143.png,"(342, 303, 500, 473)"
image_144.png,"(237, 261, 328, 305)"
image_145.png,"(281, 284, 350, 306)"
image_146.png,"(397, 339, 498, 498)"
image_147.png,"(228, 14, 306, 96)"
image_148.png,"(70, 395, 100, 403)"
image_149.png,"(155, 13, 328, 298)"
image_150.png,"(85, 103, 128, 155)"
image_151.png,"(235, 208, 354, 273)"
image_152.png,"(392, 19, 500, 178)"
image_153.png,"(316, 130, 388, 235)"
image_154.png,"(54, 184, 157, 257)"
image_155.png,"(355, 106, 438, 153)"
image_156.png,"(0, 0, 0, 0)"
image_157.png,"(353, 162, 392, 254)"
image_158.png,"(94, 315, 131, 343)"
image_159.png,"(337, 312, 500, 444)"
image_160.png,"(138, 220, 201, 250)"
image_161.png,"(100, 59, 173, 138)"
image_162.png,"(316, 213, 381, 223)"
image_163.png,"(154, 309, 254, 369)"
image_164.png,"(24, 203, 93, 356)"
image_165.png,"(195, 195, 326, 304)"
image_166.png,"(183, 223, 240, 322)"
image_167.png,"(178, 226, 260, 282)"
image_168.png,"(39, 346, 87, 473)"
image_169.png,"(197, 392, 281, 419)"
image_170.png,"(382, 228, 457, 303)"
image_171.png,"(55, 232, 132, 359)"
image_172.png,"(167, 386, 258, 393)"
image_173.png,"(79, 391, 139, 486)"
image_174.png,"(363, 84, 500, 218)"
image_175.png,"(180, 87, 298, 245)"
image_176.png,"(123, 114, 205, 139)"
image_177.png,"(210, 282, 255, 298)"
image_178.png,"(138, 364, 260, 550)"
image_179.png,"(111, 221, 138, 321)"
image_180.png,"(364, 253, 500, 425)"
image_181.png,"(250, 180, 371, 260)"
image_182.png,"(353, 162, 500, 199)"
image_183.png,"(374, 214, 488, 526)"
image_184.png,"(179, 77, 236, 99)"
image_185.png,"(289, 327, 349, 449)"
image_186.png,"(176, 277, 282, 457)"
image_187.png,"(163, 391, 317, 552)"
image_188.png,"(239, 267, 325, 517)"
image_189.png,"(146, 260, 172, 312)"
image_190.png,"(273, 336, 445, 349)"
image_191.png,"(362, 33, 500, 295)"
image_192.png,"(30, 99, 150, 253)"
image_193.png,"(318, 73, 467, 322)"
image_194.png,"(168, 226, 234, 304)"
image_195.png,"(146, 315, 195, 345)"
image_196.png,"(0, 0, 0, 0)"
image_197.png,"(380, 278, 493, 348)"
image_198.png,"(9, 396, 109, 493)"
image_199.png,"(306, 229, 373, 269)"
image_200.png,"(381, 203, 430, 265)"
image_201.png,"(89, 379, 232, 570)"
image_202.png,"(187, 70, 229, 102)"
image_203.png,"(193, 193, 277, 200)"
image_204.png,"(321, 269, 485, 411)"
image_205.png,"(50, 184, 113, 281)"
image_206.png,"(99, 189, 144, 243)"
image_207.png,"(5, 313, 138, 406)"
image_208.png,"(336, 374, 500, 550)"
image_209.png,"(53, 186, 122, 248)"
image_210.png,"(19, 167, 53, 210)"
image_211.png,"(0, 0, 0, 0)"
image_212.png,"(263, 303, 328, 345)"
image_213.png,"(143, 194, 187, 214)"
image_214.png,"(125, 147, 221, 201)"
image_215.png,"(234, 190, 384, 197)"
image_216.png,"(155, 295, 236, 312)"
image_217.png,"(13, 168, 47, 225)"
image_218.png,"(0, 0, 0, 0)"
image_219.png,"(320, 303, 392, 399)"
image_220.png,"(352, 128, 432, 223)"
image_221.png,"(132, 27, 203, 188)"
image_222.png,"(200, 69, 254, 179)"
image_223.png,"(331, 41, 470, 242)"
image_224.png,"(312, 221, 408, 298)"
image_225.png,"(67, 182, 132, 217)"
image_226.png,"(260, 12, 308, 93)"
image_227.png,"(332, 241, 500, 249)"
image_228.png,"(93, 161, 199, 269)"
image_229.png,"(0, 0, 0, 0)"
image_230.png,"(247, 381, 292, 418)"
image_231.png,"(0, 0, 0, 0)"
image_232.png,"(345, 96, 410, 131)"
image_233.png,"(372, 260, 453, 289)"
image_234.png,"(154, 339, 208, 419)"
image_235.png,"(361, 383, 500, 586)"
image_236.png,"(150, 127, 267, 264)"
image_237.png,"(258, 362, 353, 471)"
image_238.png,"(372, 106, 424, 138)"
image_239.png,"(212, 237, 369, 416)"
image_240.png,"(137, 220, 361, 343)"
image_241.png,"(0, 0, 0, 0)"
image_242.png,"(310, 159, 369, 169)"
image_243.png,"(14, 229, 143, 402)"
image_244.png,"(196, 286, 252, 357)"
image_245.png,"(77, 330, 159, 475)"
image_246.png,"(234, 390, 370, 444)"
image_247.png,"(306, 95, 361, 154)"
image_248.png,"(339, 353, 379, 401)"
image_249.png,"(235, 3, 345, 129)"
image_250.png,"(79, 329, 139, 436)"
image_251.png,"(51, 253, 94, 375)"
image_252.png,"(65, 69, 149, 123)"
image_253.png,"(306, 311, 365, 428)"
image_254.png,"(154, 298, 206, 411)"
image_255.png,"(174, 354, 237, 454)"
image_256.png,"(123, 258, 170, 345)"
image_257.png,"(285, 345, 310, 391)"
image_258.png,"(364, 359, 434, 435)"
image_259.png,"(200, 255, 342, 453)"
image_260.png,"(235, 192, 383, 201)"
image_261.png,"(213, 297, 289, 456)"
image_262.png,"(145, 85, 223, 157)"
image_263.png,"(0, 0, 0, 0)"
image_264.png,"(396, 8, 500, 66)"
image_265.png,"(151, 337, 231, 445)"
image_266.png,"(277, 60, 310, 153)"
image_267.png,"(91, 210, 121, 280)"
image_268.png,"(35, 343, 86, 424)"
image_269.png,"(167, 229, 345, 512)"
image_270.png,"(118, 58, 266, 282)"
image_271.png,"(35, 306, 155, 426)"
image_272.png,"(22, 279, 70, 292)"
image_273.png,"(392, 241, 448, 299)"
image_274.png,"(212, 192, 415, 257)"
image_275.png,"(397, 121, 500, 143)"
image_276.png,"(239, 2, 325, 234)"
image_277.png,"(14, 77, 110, 190)"
image_278.png,"(59, 353, 221, 365)"
image_279.png,"(105, 231, 186, 237)"
image_280.png,"(0, 0, 0, 0)"
image_281.png,"(237, 23, 295, 121)"
image_282.png,"(250, 27, 348, 72)"
image_283.png,"(84, 307, 201, 368)"
image_284.png,"(233, 101, 268, 205)"
image_285.png,"(172, 387, 227, 394)"
image_286.png,"(352, 380, 444, 500)"
image_287.png,"(208, 85, 350, 198)"
image_288.png,"(288, 161, 365, 318)"
image_289.png,"(381, 12, 500, 129)"
image_290.png,"(86, 321, 144, 562)"
image_291.png,"(395, 119, 452, 189)"
image_292.png,"(86, 287, 311, 567)"
image_293.png,"(295, 386, 329, 424)"
image_294.png,"(168, 2, 351, 164)"
image_295.png,"(190, 103, 239, 110)"
image_296.png,"(146, 268, 193, 290)"
image_297.png,"(112, 376, 168, 393)"
image_298.png,"(303, 10, 497, 90)"
image_299.png,"(262, 52, 300, 135)"
image_300.png,"(66, 121, 195, 217)"
image_301.png,"(97, 152, 285, 317)"
image_302.png,"(221, 312, 322, 393)"
image_303.png,"(27, 86, 157, 151)"
image_304.png,"(148, 162, 209, 241)"
image_305.png,"(22, 212, 153, 361)"
image_306.png,"(106, 140, 195, 166)"
image_307.png,"(267, 50, 308, 72)"
image_308.png,"(0, 0, 0, 0)"
image_309.png,"(14, 352, 113, 402)"
image_310.png,"(346, 127, 420, 211)"
image_311.png,"(276, 151, 325, 253)"
image_312.png,"(276, 210, 415, 267)"
image_313.png,"(102, 385, 172, 501)"
image_314.png,"(149, 36, 344, 267)"
image_315.png,"(237, 351, 276, 373)"
image_316.png,"(306, 194, 379, 277)"
image_317.png,"(232, 107, 331, 123)"
image_318.png,"(247, 173, 407, 256)"
image_319.png,"(400, 127, 438, 154)"
image_320.png,"(0, 0, 0, 0)"
image_321.png,"(114, 160, 194, 179)"
image_322.png,"(117, 299, 214, 377)"
image_323.png,"(146, 188, 255, 291)"
image_324.png,"(112, 386, 242, 395)"
image_325.png,"(390, 45, 455, 74)"
image_326.png,"(372, 72, 500, 132)"
image_327.png,"(262, 198, 396, 335)"
image_328.png,"(363, 396, 433, 474)"
image_329.png,"(369, 26, 472, 171)"
image_330.png,"(276, 399, 415, 558)"
image_331.png,"(95, 325, 238, 491)"
image_332.png,"(236, 87, 331, 171)"
image_333.png,"(116, 210, 207, 349)"
image_334.png,"(163, 23, 210, 129)"
image_335.png,"(141, 49, 332, 246)"
image_336.png,"(20, 288, 172, 390)"
image_337.png,"(267, 191, 459, 516)"
image_338.png,"(244, 63, 297, 108)"
image_339.png,"(235, 382, 317, 483)"
image_340.png,"(199, 172, 249, 254)"
image_341.png,"(260, 75, 284, 109)"
image_342.png,"(215, 166, 318, 362)"
image_343.png,"(48, 380, 168, 522)"
image_344.png,"(134, 400, 177, 501)"
image_345.png,"(258, 358, 295, 459)"
image_346.png,"(234, 244, 318, 335)"
image_347.png,"(365, 334, 500, 511)"
image_348.png,"(265, 192, 409, 289)"
image_349.png,"(314, 131, 500, 156)"
image_350.png,"(360, 328, 419, 356)"
image_351.png,"(287, 138, 367, 231)"
image_352.png,"(315, 352, 402, 376)"
image_353.png,"(204, 110, 311, 154)"
image_354.png,"(218, 384, 257, 522)"
image_355.png,"(239, 34, 325, 152)"
image_356.png,"(282, 379, 409, 553)"
image_357.png,"(17, 156, 61, 229)"
image_358.png,"(113, 361, 255, 477)"
image_359.png,"(36, 375, 77, 408)"
image_360.png,"(277, 197, 343, 313)"
image_361.png,"(69, 396, 182, 547)"
image_362.png,"(99, 341, 216, 428)"
image_363.png,"(156, 39, 321, 151)"
image_364.png,"(278, 67, 448, 228)"
image_365.png,"(226, 355, 371, 522)"
image_366.png,"(0, 0, 0, 0)"
image_367.png,"(114, 278, 251, 304)"
image_368.png,"(102, 269, 133, 376)"
image_369.png,"(349, 219, 418, 262)"
image_370.png,"(341, 383, 438, 447)"
image_371.png,"(0, 0, 0, 0)"
image_372.png,"(305, 189, 343, 342)"
image_373.png,"(23, 239, 207, 290)"
image_374.png,"(89, 311, 182, 332)"
image_375.png,"(0, 0, 0, 0)"
image_376.png,"(82, 129, 161, 142)"
image_377.png,"(38, 390, 195, 557)"
image_378.png,"(216, 127, 315, 220)"
image_379.png,"(270, 362, 368, 504)"
image_380.png,"(366, 273, 472, 369)"
image_381.png,"(60, 110, 118, 175)"
image_382.png,"(68, 327, 202, 450)"
image_383.png,"(377, 266, 500, 455)"
image_384.png,"(156, 107, 219, 202)"
image_385.png,"(110, 131, 181, 221)"
image_386.png,"(338, 294, 441, 303)"
image_387.png,"(246, 188, 369, 361)"
image_388.png,"(212, 317, 264, 340)"
image_389.png,"(303, 184, 397, 236)"
image_390.png,"(37, 211, 146, 249)"
image_391.png,"(399, 347, 460, 470)"
image_392.png,"(0, 0, 0, 0)"
image_393.png,"(118, 291, 224, 427)"
image_394.png,"(296, 263, 423, 283)"
image_395.png,"(327, 289, 387, 412)"
image_396.png,"(0, 0, 0, 0)"
image_397.png,"(323, 376, 420, 435)"
image_398.png,"(256, 291, 368, 338)"
image_399.png,"(10, 98, 178, 299)"
image_400.png,"(330, 176, 488, 345)"
image_401.png,"(330, 30, 375, 51)"
image_402.png,"(129, 11, 151, 77)"
image_403.png,"(0, 0, 0, 0)"
image_404.png,"(0, 11, 72, 24)"
image_405.png,"(0, 0, 0, 0)"
image_406.png,"(83, 298, 167, 390)"
image_407.png,"(174, 112, 211, 142)"
image_408.png,"(38, 364, 123, 434)"
image_409.png,"(227, 322, 287, 487)"
image_410.png,"(231, 155, 300, 221)"
image_411.png,"(176, 325, 233, 513)"
image_412.png,"(26, 189, 203, 306)"
image_413.png,"(3, 221, 44, 286)"
image_414.png,"(135, 150, 222, 282)"
image_415.png,"(262, 323, 356, 556)"
image_416.png,"(1, 102, 136, 259)"
image_417.png,"(130, 283, 190, 304)"
image_418.png,"(322, 370, 382, 444)"
image_419.png,"(359, 141, 500, 237)"
image_420.png,"(227, 332, 326, 485)"
